idna_subject,checker_type,destination,source,tested_at,session_id
mobile.pipe.aria.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.867562,244622b5680e697d07a1f0be
modern.watson.data.microsoft.com.akadns.net,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.873422,244622b5680e697d07a1f0be
msedge.net,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.879347,244622b5680e697d07a1f0be
msntest.serving-sys.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.885241,244622b5680e697d07a1f0be
nexus.officeapps.live.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.891133,244622b5680e697d07a1f0be
nexusrules.officeapps.live.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.897079,244622b5680e697d07a1f0be
nw-umwatson.events.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.903040,244622b5680e697d07a1f0be
oca.telemetry.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.909073,244622b5680e697d07a1f0be
onecollector.cloudapp.aria.akadns.net,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.915109,244622b5680e697d07a1f0be
par02p.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.921116,244622b5680e697d07a1f0be
pre.footprintpredict.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.927167,244622b5680e697d07a1f0be
preview.msn.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.933213,244622b5680e697d07a1f0be
rad.live.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.939311,244622b5680e697d07a1f0be
redir.metaservices.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.946201,244622b5680e697d07a1f0be
reports.wes.df.telemetry.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.952217,244622b5680e697d07a1f0be
schemas.microsoft.akadns.net,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.958340,244622b5680e697d07a1f0be
secure.adnxs.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.964442,244622b5680e697d07a1f0be
secure.flashtalking.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.970595,244622b5680e697d07a1f0be
services.wes.df.telemetry.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.976749,244622b5680e697d07a1f0be
settings-sandbox.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.982781,244622b5680e697d07a1f0be
settings-win-ppe.data.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.988986,244622b5680e697d07a1f0be
settingsfd-geo.trafficmanager.net,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:26.996198,244622b5680e697d07a1f0be
sg2p.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.002177,244622b5680e697d07a1f0be
spynet2.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.011312,244622b5680e697d07a1f0be
spynetalt.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.017466,244622b5680e697d07a1f0be
sqm.df.telemetry.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.024654,244622b5680e697d07a1f0be
sqm.telemetry.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.030935,244622b5680e697d07a1f0be
sqm.telemetry.microsoft.com.nsatc.net,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.037206,244622b5680e697d07a1f0be
ssw.live.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.043538,244622b5680e697d07a1f0be
survey.watson.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.049871,244622b5680e697d07a1f0be
telecommand.telemetry.microsoft.com,AVAILABILITY,origin.list,origin.list,2001-07-21 20:31:27.057201,244622b5680e697d07a1f0be
